from;from_log_fc;TYPE(e);to;to_log_fc
C1qa;0.01528;Interact;C1qb;0.01528
C1qb;0.009121;Interact;C1qa;0.009121
C1qa;0.01528;Interact;Laptm5;0.01528
Laptm5;0.011454;Interact;C1qa;0.011454
C1qa;0.01528;Interact;Cd53;0.01528
Cd53;0.011454;Interact;C1qa;0.011454
C1qa;0.01528;Interact;Ly86;0.01528
Ly86;0.011471;Interact;C1qa;0.011471
C1qa;0.01528;Interact;Ctsh;0.01528
Ctsh;0.011471;Interact;C1qa;0.011471
C1qa;0.01528;Interact;Ctss;0.01528
Ctss;0.012119;Interact;C1qa;0.012119
C1qa;0.01528;Interact;Cd52;0.01528
Cd52;0.019697;Interact;C1qa;0.019697
C1qa;0.01528;Interact;C3;0.01528
C3;0.042474;Interact;C1qa;0.042474
C1qa;0.01528;Interact;Grn;0.01528
Grn;0.043952;Interact;C1qa;0.043952
C1qa;0.01528;Interact;Cxcl10;0.01528
Cxcl10;0.047619;Interact;C1qa;0.047619
S100a10;0.016928;Interact;S100a6;0.016928
S100a6;0.007617;Interact;S100a10;0.007617
S100a10;0.016928;Interact;S100a4;0.016928
S100a4;0.019697;Interact;S100a10;0.019697
Col4a1;0.017796;Interact;Fn1;0.017796
Fn1;0.003243;Interact;Col4a1;0.003243
Col4a1;0.017796;Interact;Tgfbi;0.017796
Tgfbi;0.01528;Interact;Col4a1;0.01528
Col4a1;0.017796;Interact;Itgb4;0.017796
Itgb4;0.024264;Interact;Col4a1;0.024264
Col4a1;0.017796;Interact;Spp1;0.017796
Spp1;0.031431;Interact;Col4a1;0.031431
Cd52;0.019697;Interact;Cyba;0.019697
Cyba;0.009121;Interact;Cd52;0.009121
Cd52;0.019697;Interact;Laptm5;0.019697
Laptm5;0.011454;Interact;Cd52;0.011454
Cd52;0.019697;Interact;Cd53;0.019697
Cd53;0.011454;Interact;Cd52;0.011454
Cd52;0.019697;Interact;Lcp1;0.019697
Lcp1;0.011471;Interact;Cd52;0.011471
Cd52;0.019697;Interact;Ly86;0.019697
Ly86;0.011471;Interact;Cd52;0.011471
Cd52;0.019697;Interact;Ctss;0.019697
Ctss;0.012119;Interact;Cd52;0.012119
Cd52;0.019697;Interact;Coro1a;0.019697
Coro1a;0.024401;Interact;Cd52;0.024401
Ly6a;0.019697;Interact;Ly6e;0.019697
Ly6e;0.033837;Interact;Ly6a;0.033837
Anxa3;0.019697;Interact;S100a6;0.019697
S100a6;0.007617;Interact;Anxa3;0.007617
Anxa3;0.019697;Interact;S100a10;0.019697
S100a10;0.016928;Interact;Anxa3;0.016928
Anxa3;0.019697;Interact;Cd9;0.019697
Cd9;0.019697;Interact;Anxa3;0.019697
Flot1;0.019697;Interact;Iqgap1;0.019697
Iqgap1;0.019697;Interact;Flot1;0.019697
Gbp3;0.019697;Interact;Iigp1;0.019697
Iigp1;0.011454;Interact;Gbp3;0.011454
Gbp3;0.019697;Interact;Ifitm3;0.019697
Ifitm3;0.011471;Interact;Gbp3;0.011471
Gbp3;0.019697;Interact;Ifit3;0.019697
Ifit3;0.024401;Interact;Gbp3;0.024401
Gbp3;0.019697;Interact;H2-K1;0.019697
H2-K1;0.048712;Interact;Gbp3;0.048712
Gbp3;0.019697;Interact;Ifih1;0.019697
Ifih1;0.043266;Interact;Gbp3;0.043266
Tpm3;0.019697;Interact;Tpm4;0.019697
Tpm4;0.019697;Interact;Tpm3;0.019697
Cd9;0.019697;Interact;Fn1;0.019697
Fn1;0.003243;Interact;Cd9;0.003243
Cd9;0.019697;Interact;Flot1;0.019697
Flot1;0.019697;Interact;Cd9;0.019697
Cd9;0.019697;Interact;Itgb4;0.019697
Itgb4;0.024264;Interact;Cd9;0.024264
Cd9;0.019697;Interact;Spp1;0.019697
Spp1;0.031431;Interact;Cd9;0.031431
Iqgap1;0.019697;Interact;Tpm3;0.019697
Tpm3;0.019697;Interact;Iqgap1;0.019697
Iqgap1;0.019697;Interact;Tpm4;0.019697
Tpm4;0.019697;Interact;Iqgap1;0.019697
S100a4;0.019697;Interact;S100a6;0.019697
S100a6;0.007617;Interact;S100a4;0.007617
S100a4;0.019697;Interact;Spp1;0.019697
Spp1;0.031431;Interact;S100a4;0.031431
Actb;0.035819;Interact;Fn1;0.035819
Fn1;0.003243;Interact;Actb;0.003243
Actb;0.035819;Interact;S100a8;0.035819
S100a8;0.007617;Interact;Actb;0.007617
Actb;0.035819;Interact;Cyba;0.035819
Cyba;0.009121;Interact;Actb;0.009121
Actb;0.035819;Interact;Lcp1;0.035819
Lcp1;0.011471;Interact;Actb;0.011471
Actb;0.035819;Interact;Ctsl;0.035819
Ctsl;0.011471;Interact;Actb;0.011471
Actb;0.035819;Interact;Ctss;0.035819
Ctss;0.012119;Interact;Actb;0.012119
Actb;0.035819;Interact;Rplp0;0.035819
Rplp0;0.01251;Interact;Actb;0.01251
Actb;0.035819;Interact;Lcn2;0.035819
Lcn2;0.01251;Interact;Actb;0.01251
Actb;0.035819;Interact;S100a10;0.035819
S100a10;0.016928;Interact;Actb;0.016928
Actb;0.035819;Interact;Flot1;0.035819
Flot1;0.019697;Interact;Actb;0.019697
Actb;0.035819;Interact;Tpm3;0.035819
Tpm3;0.019697;Interact;Actb;0.019697
Actb;0.035819;Interact;Cd9;0.035819
Cd9;0.019697;Interact;Actb;0.019697
Actb;0.035819;Interact;Iqgap1;0.035819
Iqgap1;0.019697;Interact;Actb;0.019697
Actb;0.035819;Interact;Tpm4;0.035819
Tpm4;0.019697;Interact;Actb;0.019697
Actb;0.035819;Interact;S100a4;0.035819
S100a4;0.019697;Interact;Actb;0.019697
Actb;0.035819;Interact;Itgb4;0.035819
Itgb4;0.024264;Interact;Actb;0.024264
Actb;0.035819;Interact;Ifit3;0.035819
Ifit3;0.024401;Interact;Actb;0.024401
Actb;0.035819;Interact;Coro1a;0.035819
Coro1a;0.024401;Interact;Actb;0.024401
Actb;0.035819;Interact;Actr10;0.035819
Actr10;0.024401;Interact;Actb;0.024401
Actb;0.035819;Interact;Nfkbia;0.035819
Nfkbia;0.030998;Interact;Actb;0.030998
Actb;0.035819;Interact;Spp1;0.035819
Spp1;0.031431;Interact;Actb;0.031431
Actb;0.035819;Interact;C3;0.035819
C3;0.042474;Interact;Actb;0.042474
Actb;0.035819;Interact;Chil3;0.035819
Chil3;0.042531;Interact;Actb;0.042531
Actb;0.035819;Interact;Ifih1;0.035819
Ifih1;0.043266;Interact;Actb;0.043266
Actb;0.035819;Interact;Cxcl10;0.035819
Cxcl10;0.047619;Interact;Actb;0.047619
Actb;0.035819;Interact;Plin2;0.035819
Plin2;0.047619;Interact;Actb;0.047619
Actb;0.035819;Interact;Socs3;0.035819
Socs3;0.048506;Interact;Actb;0.048506
Actb;0.035819;Interact;H2-D1;0.035819
H2-D1;0.048913;Interact;Actb;0.048913
Itgb4;0.024264;Interact;Spp1;0.024264
Spp1;0.031431;Interact;Itgb4;0.031431
Ifit3;0.024401;Interact;Iigp1;0.024401
Iigp1;0.011454;Interact;Ifit3;0.011454
Ifit3;0.024401;Interact;Ifitm3;0.024401
Ifitm3;0.011471;Interact;Ifit3;0.011471
Ifit3;0.024401;Interact;Ly6e;0.024401
Ly6e;0.033837;Interact;Ifit3;0.033837
Ifit3;0.024401;Interact;Samhd1;0.024401
Samhd1;0.033837;Interact;Ifit3;0.033837
Coro1a;0.024401;Interact;Laptm5;0.024401
Laptm5;0.011454;Interact;Coro1a;0.011454
Coro1a;0.024401;Interact;Lcp1;0.024401
Lcp1;0.011471;Interact;Coro1a;0.011471
Coro1a;0.024401;Interact;Ly86;0.024401
Ly86;0.011471;Interact;Coro1a;0.011471
Coro1a;0.024401;Interact;Ctss;0.024401
Ctss;0.012119;Interact;Coro1a;0.012119
Nfkbia;0.030998;Interact;Socs3;0.030998
Socs3;0.048506;Interact;Nfkbia;0.048506
H2-K1;0.048712;Interact;Iigp1;0.048712
Iigp1;0.011454;Interact;H2-K1;0.011454
H2-K1;0.048712;Interact;H2-Q4;0.048712
H2-Q4;0.048712;Interact;H2-K1;0.048712
Pnp;0.033837;Interact;S100a8;0.033837
S100a8;0.007617;Interact;Pnp;0.007617
C3;0.042474;Interact;Serpina3n;0.042474
Serpina3n;0.000123;Interact;C3;0.000123
C3;0.042474;Interact;Fn1;0.042474
Fn1;0.003243;Interact;C3;0.003243
C3;0.042474;Interact;Ifitm3;0.042474
Ifitm3;0.011471;Interact;C3;0.011471
C3;0.042474;Interact;Lcn2;0.042474
Lcn2;0.01251;Interact;C3;0.01251
C3;0.042474;Interact;Pnp;0.042474
Pnp;0.033837;Interact;C3;0.033837
C3;0.042474;Interact;Chil3;0.042474
Chil3;0.042531;Interact;C3;0.042531
C3;0.042474;Interact;Cxcl10;0.042474
Cxcl10;0.047619;Interact;C3;0.047619
Chil3;0.042531;Interact;S100a8;0.042531
S100a8;0.007617;Interact;Chil3;0.007617
Chil3;0.042531;Interact;Lcn2;0.042531
Lcn2;0.01251;Interact;Chil3;0.01251
Chil3;0.042531;Interact;Cxcl10;0.042531
Cxcl10;0.047619;Interact;Chil3;0.047619
Chil3;0.042531;Interact;Socs3;0.042531
Socs3;0.048506;Interact;Chil3;0.048506
Ifih1;0.043266;Interact;Iigp1;0.043266
Iigp1;0.011454;Interact;Ifih1;0.011454
Ifih1;0.043266;Interact;Ifitm3;0.043266
Ifitm3;0.011471;Interact;Ifih1;0.011471
Ifih1;0.043266;Interact;Ifit3;0.043266
Ifit3;0.024401;Interact;Ifih1;0.024401
Ifih1;0.043266;Interact;Nfkbia;0.043266
Nfkbia;0.030998;Interact;Ifih1;0.030998
Ifih1;0.043266;Interact;Ly6e;0.043266
Ly6e;0.033837;Interact;Ifih1;0.033837
Ifih1;0.043266;Interact;Samhd1;0.043266
Samhd1;0.033837;Interact;Ifih1;0.033837
Ifih1;0.043266;Interact;Socs3;0.043266
Socs3;0.048506;Interact;Ifih1;0.048506
Grn;0.043952;Interact;Ifitm3;0.043952
Ifitm3;0.011471;Interact;Grn;0.011471
Grn;0.043952;Interact;Tpm3;0.043952
Tpm3;0.019697;Interact;Grn;0.019697
Cxcl10;0.047619;Interact;Fn1;0.047619
Fn1;0.003243;Interact;Cxcl10;0.003243
Cxcl10;0.047619;Interact;Iigp1;0.047619
Iigp1;0.011454;Interact;Cxcl10;0.011454
Cxcl10;0.047619;Interact;Ifitm3;0.047619
Ifitm3;0.011471;Interact;Cxcl10;0.011471
Cxcl10;0.047619;Interact;Lcn2;0.047619
Lcn2;0.01251;Interact;Cxcl10;0.01251
Cxcl10;0.047619;Interact;Gbp3;0.047619
Gbp3;0.019697;Interact;Cxcl10;0.019697
Cxcl10;0.047619;Interact;Ifit3;0.047619
Ifit3;0.024401;Interact;Cxcl10;0.024401
Cxcl10;0.047619;Interact;Nfkbia;0.047619
Nfkbia;0.030998;Interact;Cxcl10;0.030998
Cxcl10;0.047619;Interact;Spp1;0.047619
Spp1;0.031431;Interact;Cxcl10;0.031431
Cxcl10;0.047619;Interact;Samhd1;0.047619
Samhd1;0.033837;Interact;Cxcl10;0.033837
Cxcl10;0.047619;Interact;Ifih1;0.047619
Ifih1;0.043266;Interact;Cxcl10;0.043266
Cxcl10;0.047619;Interact;Socs3;0.047619
Socs3;0.048506;Interact;Cxcl10;0.048506
Cxcl10;0.047619;Interact;Gbp2;0.047619
Gbp2;0.048886;Interact;Cxcl10;0.048886
Cxcl10;0.047619;Interact;H2-D1;0.047619
H2-D1;0.048913;Interact;Cxcl10;0.048913
Gbp2;0.048886;Interact;Serpina3g;0.048886
Serpina3g;0.003243;Interact;Gbp2;0.003243
Gbp2;0.048886;Interact;Iigp1;0.048886
Iigp1;0.011454;Interact;Gbp2;0.011454
Gbp2;0.048886;Interact;Ifitm3;0.048886
Ifitm3;0.011471;Interact;Gbp2;0.011471
Gbp2;0.048886;Interact;Ly6a;0.048886
Ly6a;0.019697;Interact;Gbp2;0.019697
Gbp2;0.048886;Interact;Gbp3;0.048886
Gbp3;0.019697;Interact;Gbp2;0.019697
Gbp2;0.048886;Interact;Ifit3;0.048886
Ifit3;0.024401;Interact;Gbp2;0.024401
Gbp2;0.048886;Interact;H2-K1;0.048886
H2-K1;0.048712;Interact;Gbp2;0.048712
Gbp2;0.048886;Interact;Ifih1;0.048886
Ifih1;0.043266;Interact;Gbp2;0.043266
Gbp2;0.048886;Interact;H2-Q4;0.048886
H2-Q4;0.048712;Interact;Gbp2;0.048712
H2-D1;0.048913;Interact;H2-K1;0.048913
H2-K1;0.048712;Interact;H2-D1;0.048712
H2-D1;0.048913;Interact;H2-Q4;0.048913
H2-Q4;0.048712;Interact;H2-D1;0.048712
